"1","aabaadi","population","اٰبادي","وستي"
"2","aab","water","اٰب","پاني"
"3","aab o hawaa","environment","اٰب و هواء","پاني انے هواء"
"4","aabaad","prosper","اٰباد","وسيلو"
"5","aabdida","tearful eyes","اٰبديده","انكهـ ما اٰنسو بهرائي اٰوؤ"
"6","aabru","honor","اٰبرو","عزة"
"7","aapas ma","among each other","اٰپس ما","ايك بيسرا ساتهے"
"8","aapwu","give","اٰپوؤ","كوئي چيزكوئي نے اٰپوي"
"9","aasaar","relics","اٰثار","اٰگل نا زمان ني باقي چيزو"
"10","aaj","today","اٰج","اٰج نودن"
"11","aakherat","hereafter","اٰخرة","دنيا  سي گذروا بعد ني زندگي"
"12","aadmi","human","اٰدمي","انسان نے كهوائي چهے"
"13","aar","hinderance","اٰر","ارچن ، روكاو ت"
"14","aaraasta","adorn","اٰراسته","سنوريلو، منظم"
"15","aaraam","rest","اٰرام","راحة"
"16","aarpaar","penetrate through","اٰرپار","كوئي چيز نا ايك جانب سي داخل تهئي نے بيسرا جانب سي نكلي جاوؤ"
"17","aarzu","wish, hope","اٰرزو","اُميد"
"18","aarsi","mirror","اٰرسي","اهوؤ شيشه جه ما پوتانو چهره ديكهي سكائي"
"19","aazaad","free","اٰزاد","جه كئي قيد ما   بندش ما نه هوئي"
"20","aazurda","sad","اٰزرده","غم زده هوؤ،  غمگين"
"21","aasaan","easy","اٰسان","سهل  هوؤ"
"22","aasteen","sleeve","اٰستين","قميص يا كرتا ني بائي"
"23","aasra","shelter, sanctuary","اٰسرا","سهارا"
"24","aasin","old standing water","اٰسن","جونو"
"25","aasin","stale","اٰسن","پرانو"
"26","aashkaar","commonly known","اٰشكار","سگلا نے ديكهائي اٰوے"
"27","aashnaai","acquaintance","اٰشنائي","اولكهان"
"28","aata","flour","اٰضضا","پيسيلا گهو"
"29","aaghaaz","beginning","اٰغاز","كئي بهي چيز ني شروعات"
"30","aafat","bane, scourge","اٰفة","مصبية،   وه چيز جه بيجي چيز نے فاسد كري ناكهے"
"31","aaftaab","sun","اٰفتاب","سورج"
"32","aafis","office","اٰفس","مكتبة"
"33","aaq e ghiraami","noble moula","اٰقا ء گرامي","بلند شان نا مولىْ"
"34","aag","fire","اٰگ","نار"
"35","agaah","aware","اٰگاه","وات جانتا هوئي"
"36","aagaahi","prediction","اٰگاهي","پيشنگوئي"
"37","aage bharwu","to move forward","اٰگے بهروؤ","اٰگل طرف جاوؤ"
"38","aagal","ahead","اٰگل","جه چيز  تمارا سامنے هوئي،  اگاري هوي"
"39","aagewaan","frontliners","اٰگيوان","اٰگل پرتا لوگ"
"40","aal","progeny","اٰل","فرزندو"
"41","aale mohammad","progeny of rasulillah s.a","اٰل محمد","رسول الله صلع نا فرزندو، ائمة طاهرين ع م "
"42","aamaada thaawu","to agree upon","اٰماده تهاوؤ","كئي وات پر اتفاق تهاوؤ"
"43","aamez","mix, combine","اٰميز","كئي چيز ما ملي جاوؤ"
"44","aamezgi","mixture","اٰميزگي","ملاوت"
"45","aan","time","اٰن","وقت"
