"aabaadi","اٰبادي"
"aab","اٰب"
"aab o hawaa","اٰب و هواء"
"aabaad","اٰباد"
"aabdida","اٰبديده"
"aabru","اٰبرو"
"aapas ma","اٰپس ما"
"aapwu","اٰپوؤ"
"aasaar","اٰثار"
"aaj","اٰج"
"aakherat","اٰخرة"
"aadmi","اٰدمي"
"aar","اٰر"
"aaraasta","اٰراسته"
"aaraam","اٰرام"
"aarpaar","اٰرپار"
"aarzu","اٰرزو"
"aarsi","اٰرسي"
"aazaad","اٰزاد"
"aazurda","اٰزرده"
"aasaan","اٰسان"
"aasteen","اٰستين"
"aasra","اٰسرا"
"aasin","اٰسن"
"aasin","اٰسن"
"aashkaar","اٰشكار"
"aashnaai","اٰشنائي"
"aata","اٰضضا"
"aaghaaz","اٰغاز"
"aafat","اٰفة"
"aaftaab","اٰفتاب"
"aafis","اٰفس"
"aaq e ghiraami","اٰقا ء گرامي"
"aag","اٰگ"
"agaah","اٰگاه"
"aagaahi","اٰگاهي"
"aage bharwu","اٰگے بهروؤ"
"aagal","اٰگل"
"aagewaan","اٰگيوان"
"aal","اٰل"
"aale mohammad","اٰل محمد"
"aamaada thaawu","اٰماده تهاوؤ"
"aamez","اٰميز"
"aamezgi","اٰميزگي"
"aan","اٰن"
"aasu","اٰنسو"
"aangli","اٰنگلي"
"aangan","اٰنگن"
"aaho zaari","اٰه زاري"
"aahistaa","اٰهسته"
"aawaaz","اٰواز"
"aawu","اٰوؤ"
"aayat","اٰية-اٰيات"
"aainda","اٰئنده"
"abba","ابّا"
"ibtida","ابتداء"
"ibteda an","ابتداءً"
"ibtedaa'","ابتداع"
"ibtehaal","ابتهال"
"abad ul aabaad","ابد الاباد"
"ibdaa' kerwu","ابداع كروؤ"
"abadi","ابدي"
"aber","ابر"
"abraar","ابرار"
"abras","ابرص"
"ibhaam","ابهام"
"iblaag","ابلاغ"
"iblees","ابليس"
"ibn","ابن"
"ubhaarwu","ابهاروؤ"
"abwaab","ابواب"
"abyaat","ابيات"
"upaarwu","اپاروؤ"
"apan","اپن"
"apna","اپنا"
"ittekaa","اتّكاء"
"utaro","اتارو"
"utaarwu","اتاروؤ"
"utarti","اترتي"
"uterwu","اتروؤ"
"ittesaal","اتصال"
"ittefaaq","اتفاق"
"itqaan","اتقان"
"atqeyaa","اتـقياء"
"atakwu","اتكوؤ"
"uthaawu","اتهاوؤ"
"atharwu","اتهروؤ"
"uthwu","اتهوؤ"
"athar","اثر"
"ism","اثم"
"asnaa","اثناء"
"ithnain","اثنين"
"ijabat","اجابة"
"ijazat","اجازة"
"ujaagro","اجاگرو"
"ijtebaa","اجتباء"
"ijtema","اجتماع"
"ijtemaee","اجتماعي"
"ijtenaab","اجتناب"
"ijtehaad","اجتهاد"
"ajar","اجر"
"ujrat","اجرة"
"ajal","اجل"
"ajnabi","اجنبي"
"ahadees","احاديث"
"ihaatat","احاطة"
"aahibbaa","احباء"
"ehteraam","احترام"
"ihtefaal","احتفال-احتفالات"
"ehtemaal","احتمال"
"ehtewa","احتواء"
"ehteyaaj","احتياج"
"ehteyaat","احتياط"
"ahad","احد"
"ehraam","احرام"
"ahraa","احرىْ"
"ehsaas","احساس"
"ehsaan","احسان"
"ahsan","احسن"
"ahsanta","احسنتَ"
"ahkaam","احكام"
"ehkaam","احكام"
"ahmar","احمر"
"ahwaal","احوال"
"ehyaa","احياء كروؤ"
"akh","اخ"
"akhbaar","اخبار"
"ukht","اخت"
"ikhtebaar","اختبار"
"ikhtesaar","اختصار"
"ikhtelaaf","اختلاف"
"ikhteyaar","اختيار"
"aakhir","اخر"
"aakhereen","اخرين"
"ikhlaas","اخلاص"
"akhlaaq","اخلاق"
"akhlaaq hasanah","اخلاق حسنة"
"akheer","اخير"
"achat","اچهت تهاوؤ"
"achu","اچهو"
"idara","ادارة"
"udaas","اداس"
"adab","ادب"
"idraak","ادراك"
"ad- e'yat","ادعية"
"adna","ادنىْ"
"udhaar","ادهار"
"adhukraa bethwu","ادهوكرا بيتهوؤ"
"idhwichraa","ادهويچرا"
"adwaar maziya","ادوار ماضية"
"izan","اذَن"
"ozun","اذُن"
"izin","اذٍّن"
"azaan","اذان"
"azhaan","اذهان"
"irada, irado","ارادة"
"arbea","اربعاء"
"irteqaa","ارتقاء"
"irteqaab","ارتكاب"
"archan","ارچن"
"ardhu","اردهو"
"arzaaq","ارزاق"
"irsaal","ارسال"
"irshaad","ارشاد"
"arkaan","اركان"
"arwaah","ارواح"
"urwu","اروؤ"
"izdehaam","ازدحام"
"azdaha","ازدها"
"izdewaaj","ازدواج"
"azali","ازلي"
"asaas","اساس"
"aasaaesh","اسائش"
"asbaab","اسباب"
"asbaat","اسباط"
"asbaaq","اسباق"
"ustaaz","استاذ"
"istibsaar","استبصار"
"istibsaar","استبصار"
"istetaar","استتار"
"istehsaan","استحسان"
"istehqaaq","استحقاق"
"istikhraaj","استخراج"
"istisqaa","استسقاء"
"istetaa'at","استطاعة"
"istehaanat","استهانة"
"isteaazat","استعاذة"
"isteaanat","استعانة"
"iste'maal","استعمال"
"istegaasat kerwu","استغاثة"
"istigfaar kerwu","استغفار كروؤ"
"istiqbaal","استقبال"
"istiqlaal","استقلال"
"istikbaar","استكبار"
"istimdaad","استمداد"
"istimraar","استمرار"
"istenaarat","استنارة"
"istimbaat","استنباط"
"istinsaakh","استنساخ"
"istinshaaq","استنشاق"
"istinkaaf","استنكاف"
"istawa","استواء"
"ustowaar","استوار كروؤ"
"isti'aab","استيعاب"
"asraar","اسرار"
"israaf","اسراف"
"asturlaab","اسطرلاب"
"astri","اسطري"
"islam","اسلام"
"usloob","اسلوب"
"ism-asmaa","اسم-اسماء"
"asma ullah","اسماء الله"
"aasmaan","اسمان"
"asmer","اسمر"
"aseer","اسير"
"isharaa","اشارة"
"ishaa'at","اشاعة"
"ishtebah","اشتباه"
"ishteqaaq","اشتقاق"
"ashkhaas","اشخاص"
"ashad","اشد"
"ishraaq","اشراق"
"ashe'at","اشعّة"
